Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
ss   SSPB3750R6           SELECT ROUND 6 PB3750   PB37S0R6            757063375391,,,,,,,,,,$1.96,,,l,,$5.95,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6        No
4",,,,,,,,,,,,,,,,,,,,,,
ss   SS PB3750R8            SELECT ROUND 8 PB3750   PB37S0R8            757063375407,,,,,,,,,,$2.56,,,l,,$7.75,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"5        No
3",,,,,,,,,,,,,,,,,,,,,,
ss   SS PB3750RBI2       SELECT ROUND BLEN PB3750   PB37S0RB12         757063375544,,,,,,,,,,$4.27,,,l,,$12.95,,,,,,,Yes,,,,ss,,,,,,,,,,l,,0,,,"2        No
2",,,,,,,,,,,,,,,,,,,,,,
ss   SS PB3750RB6         SELECT ROUND BLEN PB3750   PB3750RB6           757063375537,,,,,,,,,,$2.56,,,l,,$7.75,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"4        No
3",,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750SCl           SELECT SCRIPT LINER PB3750   PB3750SC1          757063375223,,,,,,,,,,$1.67,,,l,,$5.15,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"4        No
3",,,,,,,,,,,,,,,,,,,,,,
ss       SSPB3750SC100      SELECT SCRIPT LINER PB3750   PB3750SC100       757063375209,,,,,,,,,,$1.S7,,,l,,$4.75,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6         No
2",,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750SC2         SELECT SCRIPT LINER PB37SO   PB3750SC2          757063375230,,,,,,,,,,$1.71,,,l,,$5.25,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"4         No
3",,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB37 50SC20        SELECT SCRIPT LINER PB3750   PB3750SC20         757063375216,,,,,,,,,,$1.57,,,l,,$4.75,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6        No
14",,,,,,,,,,,,,,,,,,,,,,
ss   S SPB3750SL100       SELECT SHORT LINER PB3750   PB3750SLI00       757063375704,,,,,,,,,,$1.63,,,1,,$4.95,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6        No
3",,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750SL180      SELECT SHORT LINER PB3750   PB3750SL180        757063375698,,,,,,,,,,$1.63,,,l,,$4.95,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6         No
l",,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750SL20         SELECT SHORT LINER PB3750   PB3750SL20         757063377418,,,,,,,,,,$1.63,,,I,,$5.00,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6        No
3",,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750SP50        SELECT SPOTTER 5/0 PB3750   PB3750SP50         757063375582,,,,,,,,,,$1.63,,,I,,$4.95,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6        No
l",,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750TSl00       SELECT ANGLE SPOT PB3750   PB3750TS100        757063377425,,,,,,,,,,$2.56,,,1,,$7.75,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6        No
4",,,,,,,,,,,,,,,,,,,,,,
ss   S SPB3950AS012      VELVETOUCH ANGUL PB3950   PB3950AS012       757063395122,,,,,,,,,,$3.02,,,l,,$9.15,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"8        No
6",,,,,,,,,,,,,,,,,,,,,,
"ss   S SPB3950AS025      VELVETOUCH ANGUL                  1                                                                                                               2            8        No       Yes PB3950   PB3950AS025       757063395115                   $3.22                   $9.75      EA         Yes         ss                 0            3
ss   S SPB3950AS037      VELVETOUCH ANGUL                   l                                                                                                               2            8        No       Yes PB3950   P
ss   SS  PB3950CB2          VELVETOUCH CHISEL                   l                                                                                                               2           8        No       Yes PB3950   P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3950AS037       757063395160                   $3.55                 $10.75      EA         Yes          ss                 0            2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3950CB2           757063395139                   $2.15                  $6.50      EA         Yes         ss                 0            3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 135 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,,,Dept         Ma_ufacturer                                   Locati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,Barcode,,,,,Cost,,,,Price         Unit    Tn     Supplier I       Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on               Min       Max           Deleted             Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multiplier
Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
pplier 2                  QCom    QOH  Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950CB4           VELVETOUCH CIDSEL PB3950   PB3950CB4            757063395146,,,,,,,,,,$2.13,,,$7.35,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,2,,0,,,"8         No
5",,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950CB6           VELVETOUCH CIDSEL PB3950   PB3950CB6            757063395153,,,,,,,,,,$2.56,,,$7.75,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,2,,0,,,"8         No
4",,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950CB8           VELVETOUCH CijISEL PB3950   PB3950CB8            757063395351,,,,,,,,,,$2.99,,,$9.05,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,2,,0,,,"8         No
4",,,,,,,,,,,,,,,,,,,,,,
ss   SSP83950FB4           VELVETOUCH FILBER PB3950   PB3950FB4            757063395177,,,,,,,,,,$2.79,,,$8.45,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,2,,0,,,"8         No
8",,,,,,,,,,,,,,,,,,,,,,
ss   SSP83950FB6           VELVETOUCH FILBER PB3950   PB3950FB6            757063395184,,,,,,,,,,$2.83,,,$9.7S,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,2,,0,,,"8         No
s",,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950FB8           VELVETOUCH FILBER PB3950   PB3950FB8             757063395191,,,,,,,,,,$3.17,,,$10.95,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,2,,0,,,"8         No
3",,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3950FG037        VELVETOUCH FILBER                                                                                                                                          2            8         No
PB3950   PB3950FG037        757063395207                    $4.27                  $12.95      EA        Yes   ss                 0            2
ss   SSPB3950FN100       VELVETOUCH FAN 10/                                                                                                                                         2            8         No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950FN100        757063395276                    $2.83                    $9.75      EA        Yes   ss                 0           3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950FS10         VELVETOUCH FLATS                                                                                                                                           2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB39S0FS10           757063395269                    $3.12                  $10.75      EA         Yes   ss                 0             2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950FS2            VELVETOUCH FLATS                                                                                                                                           2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950FS2,,,,757063395221                    $2.22                    $7.65      EA        Yes         ss                 0            5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB39S0FS4            VELVETOUCH FLATS                                                                                                                                           2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950FS4,,,,757063395238                    $2.56                    $7.75      EA         Yes   ss                 0            6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950FS6            VELVETOUCH FLATS                                                                                                                                           2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950FS6,,,,757063395245                    $3.09                    $9.35      EA        Yes   ss                 0             5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950FS8            VELVETOUCH FLATS                                                                                                                                           2            8        No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950FS8,,,,757063395252                    $3.18                    $9.65      EA        Yes         ss                 0            5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3950Ll 00         VELVETOUCH LINER                                                                                                                                            2           8         No
PB3950   PB3950Ll 00          757063395368                    $2.03                    $6.15      EA        Yes         ss                 0            4
ss   SSPB3950LR10         VELVETOUCH ULTRA                                                                                                                                           2            8         No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950LR10          757063395443                    $5.00                  $17.25      EA         Yes   ss                 0            2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950LR12         VELVETOUCH ULTRA                                                                                                                                           2            8        No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950LR12          757063395412                    $6.19                  $18.75      EA        Yes         ss                 0             4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950LR4           VELVETOUCH ULTRA                                                                                                                                           2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB39S0   PB3950LR4,,,,757063395429                    $3.55                  $10.75      EA        Yes         ss                 0             5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950LR6           VELVETOUCH ROUND                                                                                                                                          2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950LR6,,,,757063395375                    $4.08                 $12.35      EA         Yes         ss                 0            0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3950LR8           VELVETOUCH ULTRA                                                                                                                                          2            8         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3950   PB3950LR8,,,,757063395436                    $4.93                  $14.95      EA        Yes         ss                                               0            3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 136 of 186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept          Ma_ufacturer                                       Location                Min       Max            Deleted              Acti'Ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,,Barcode,,,,Cost,,,,Price          Unit     Tax            Supplier 1       Supplier 2                   QCom   QOH     Note        Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fi,,,,,,,,,,
ss   SS  PB3950OM075     VELVETOUCH OVAL PB3950   PB3950OM075      757063395214,,,,,,,,,,,$6.58,,I,,,$19.95,,,,EA,,,,Yes,,,ss,,,2,,,,,,,,,0,,8,,,No 6,,,,,,,Yes,,,0,,,0,,,,,,,
ss   SSP   B3950Rl              VELVETOUCH ROUND,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,No                     Yes,,,,,,,,,,,,,,,,,,,,
B3950Rl80          VELVETOUCH ROUND                   1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,l No,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,
B3950R2             VELVETOUCH ROUND                   l                                                                                                                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
5",,,,,,,,,,,,,,,,,,,,
B3950R4             VELVETOUCH ROUND                   l                                                                                                                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
4",,,,,,,,,,,,,,,,,,,,
B3950R6             VELVETOUCH ROUND                   l                                                                                                                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
4",,,,,,,,,,,,,,,,,,,,
B3950R8             VELVETOUCH ROUND                   l                                                                                                                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
4",,,,,,,,,,,,,,,,,,,,
B3950SC20         VELVETOUCH SCRIPT                    l                                                                                                                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
7",,,,,,,,,,,,,,,,,,,,
B3950SLI80       VELVETOUCH SHORT                    l                                                                                                                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
2",,,,,,,,,,,,,,,,,,,,
"8         No
B39S0SP180         7S7063395290                    $2.1S                     $6.50      EA         Yes         ss                 0             s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3950SP50         VELVETOUCCH SPOT                     1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
6",,,,,,,,,,,,,,,,,,,,
B3950W07S        VELVETOUCH WASH                      1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,"No
l",,,,,,,,,,,,,,,,,,,,
B3950Wl00        VELVETOUCH WASH                      1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,"No
4",,,,,,,,,,,,,,,,,,,,
"4         No
B6500AB10          757063650016                  $11.05                  $37.45      EA         Yes         ss                 0             4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6500AB6          ASPEN ANGLE BRIGH                     1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,"No
4",,,,,,,,,,,,,,,,,,,,
B6500BI0           ASPEN BRIGHT 10                            I                                                                                                          2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,"No
3",,,,,,,,,,,,,,,,,,,,
B6500B12           ASPEN BRIGHT 12                           I                                                                                                          2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,"No
3",,,,,,,,,,,,,,,,,,,,
B650082             ASPEN BRIGHT 2                             1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,"No
2",,,,,,,,,,,,,,,,,,,,
B6500B4             ASPEN BRIGHT 4                              1                                                                                                                     2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,"No
2",,,,,,,,,,,,,,,,,,,,
"PB3950   PB3950Rl               757063395306                    $2.36                    $7.15      EA         Yes         ss
ss   SSP
PB3950   PB3950Rl 80          757063395283                    $2.15                    $6.50      EA        Yes           s
ss   SSP
PB3950   PB3950R2              757063395313                    $2.52                    $7.65      EA        Yes           s
ss   SSP
PB3950   PB3950R4              757063395320                    $2.69                    $8.15      EA         Yes         ss
ss   SSP
PB3950   PB3950R6               757063395337                    $3.28                    $9.95      EA         Yes           s
ss   SSP
PB3950   PB3950R8              757063395344                    $3.84                  $11.65      EA         Yes         ss
ss   SSP
PB3950   PB3950SC20          757063395399                    $2.19                    $6.65      EA         Yes         ss
ss   SSP
PB3950   PB3950SLI80        7S7063395405                    $2.19                    $6.95      EA        Yes         ss
ss   SSPB3950SP180        VELVETOUCH SPOTT                     l                                                                                                                      2
PB3950   P
ss   SSP
PB3950   PB3950SP50          75706339S382                    $2.29                    $6.9S      EA        Yes         ss
ss   SSP
PB3950   PB39S0W075          75706339S450                    $5.78                  $17.50      EA         Yes         ss
ss   SSP
PB3950   PB3950Wl00          757063395467                    $6.91                  $20.95      EA         Yes         ss
ss   SSPB6500AB10         ASPEN ANGLE BRIGH                     l                                                                                                                      2
PB6500   P
ss   SSP
PB6500   PB6500AB6            757063650009                    $6.48                  $21.95      EA         Yes         ss
ss   SSP
PB6500   PB6500BIO            757063650061                  $10.28                  $34.25      EA         Yes         ss
ss   SSP
PB6500   PB6500Bt2            757-063650078                  $11.99                  $39.95      EA         Yes         ss
ss   SSP
PB6500   PB6500B2              757063650023                    $3.42                  $11.40      EA         Yes         ss
ss   SSP
PB6500   PB6500B4              757063650030                    $4.67                  $15.55      EA         Yes         ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Yes
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept          Maaufacturer                                      Location                Min       Max           Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,,Barcode,,,,Cost,,,,Price          Unit     Tax          Su pplier1       Supplier2                   QCom    QOH     No te        Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fi,,,,,,,,,,
ss   SSP  B6500B6             ASPEN BRIGHT 6                              1                                                                                                                     2            4         No                     Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB6500   PB6500B6              757063650047,,,,,,,,,,,$5.60,,,,,$18.65,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SSPB6500B8             ASPEN BRIGHT 8,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500B8              757063650054,,,,,,,,,,,$7.66,,,,,$25.95,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,I,,,,,,,,,,0,,,0,,,,,,,
ss   SSP   B6500EG6          ASPEN EGBERT 6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500EG6            757063650238,,,,,,,,,,,$6.59,,,,,$22.85,,,,EA,,,,Yes,,,s,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,,,,
ss   SSP  B6500Fl0            ASPEN FLAT 10,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500FIO             757063650139,,,,,,,,,,,$10.10,,,,,$34.25,,,,EA,,,,Yes,,,s,,,,,,,,,,,,0,,,,,3                                     0       0,,,,,,,,,,,,,,,,,,,,
ss   SSPB6    SOOFl 2            ASPEN FLAT 12,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No                     Yes,,,,,,,,,,,,,,,,,,,,
